phone-service out-of-service
signal 12
phone-call idle
battery-change 0 100/100 4196250
batt_temp 25.0
setting_brightness 255
setting_screen_timeout 300000
time 1429176521475
localtime_offset 7200000
model dream
begin 0
total-power 900
meminfo 1007496 275024 33792 438684
LCD 900
LCD-brightness 255
LCD-screen-on true
LCD-1000 900
Wifi 0
Wifi-on false
3G 0
3G-on false
GPS 0
GPS-state-times 1.0 0.0 0.0
GPS-sattelites 0
Audio 0
Audio-on false
signal 9
associate 10014 android.media:10014@17
associate 10025 com.google.uid.shared:10025@7099030
associate 10027 com.google.android.partnersetup@17
associate 10034 com.android.launcher@17
associate 10043 android.uid.mtkbt:10043@17
associate 10060 com.android.systemui@17
begin 1
total-power 1181
LCD 900
LCD-brightness 255
LCD-screen-on true
LCD-1000 900
CPU 281
CPU-sys 53
CPU-usr 12
CPU-freq 1001.0
CPU-0 106
CPU-1000 170
CPU-1001 7
CPU-1002 0
CPU-1012 0
CPU-1013 0
CPU-1017 0
CPU-1019 0
CPU-1021 0
CPU-2000 0
CPU-9996 0
CPU-10014 7
CPU-10025 335
CPU-10027 0
CPU-10034 0
CPU-10043 0
CPU-10060 92
Wifi 0
Wifi-on false
3G 0
3G-on false
GPS 0
GPS-state-times 1.0 0.0 0.0
GPS-sattelites 0
Audio 0
Audio-on false
begin 2
total-power 1236
LCD 900
LCD-brightness 255
LCD-screen-on true
LCD-1000 900
CPU 336
CPU-sys 59
CPU-usr 19
CPU-freq 1001.0
CPU-0 76
CPU-1000 226
CPU-1001 20
CPU-1002 0
CPU-1012 0
CPU-1013 6
CPU-1017 0
CPU-1019 0
CPU-1021 0
CPU-2000 0
CPU-9996 0
CPU-10014 48
CPU-10025 453
CPU-10027 0
CPU-10034 0
CPU-10043 0
CPU-10060 6
Wifi 0
Wifi-on false
3G 0
3G-on false
GPS 0
GPS-state-times 1.0 0.0 0.0
GPS-sattelites 0
Audio 0
Audio-on false
begin 3
total-power 1231
LCD 900
LCD-brightness 255
LCD-screen-on true
LCD-10014 900
CPU 331
CPU-sys 64
CPU-usr 13
CPU-freq 1001.0
CPU-0 41
CPU-1000 266
CPU-1001 34
CPU-1002 0
CPU-1012 0
CPU-1013 0
CPU-1017 0
CPU-1019 0
CPU-1021 0
CPU-2000 0
CPU-9996 0
CPU-10014 41
CPU-10025 226
CPU-10027 0
CPU-10034 0
CPU-10043 0
CPU-10060 13
Wifi 0
Wifi-on false
3G 0
3G-on false
GPS 0
GPS-state-times 1.0 0.0 0.0
GPS-sattelites 0
Audio 0
Audio-on false
begin 4
total-power 1211
LCD 900
LCD-brightness 255
LCD-screen-on true
LCD-1000 900
CPU 311
CPU-sys 56
CPU-usr 16
CPU-freq 1001.0
CPU-0 112
CPU-1000 489
CPU-1001 77
CPU-1002 0
CPU-1012 0
CPU-1013 7
CPU-1017 0
CPU-1019 0
CPU-1021 0
CPU-2000 0
CPU-9996 0
CPU-10014 98
CPU-10025 196
CPU-10027 0
CPU-10034 0
CPU-10043 0
CPU-10060 140
Wifi 0
Wifi-on false
3G 0
3G-on false
GPS 0
GPS-state-times 1.0 0.0 0.0
GPS-sattelites 0
Audio 0
Audio-on false
begin 5
total-power 1195
LCD 900
LCD-brightness 255
LCD-screen-on true
LCD-1000 900
CPU 295
CPU-sys 55
CPU-usr 14
CPU-freq 1001.0
CPU-0 48
CPU-1000 379
CPU-1001 76
CPU-1002 0
CPU-1012 0
CPU-1013 6
CPU-1017 0
CPU-1019 0
CPU-1021 0
CPU-2000 0
CPU-9996 0
CPU-10014 55
CPU-10025 266
CPU-10027 0
CPU-10034 0
CPU-10043 0
CPU-10060 69
Wifi 0
Wifi-on false
3G 0
3G-on false
GPS 0
GPS-state-times 1.0 0.0 0.0
GPS-sattelites 0
Audio 0
Audio-on false
associate 10030 com.google.android.googlequicksearchbox@300303110
begin 6
total-power 1197
LCD 900
LCD-brightness 255
LCD-screen-on true
LCD-1000 900
CPU 297
CPU-sys 49
CPU-usr 20
CPU-freq 1001.0
CPU-0 48
CPU-1000 283
CPU-1001 48
CPU-1002 0
CPU-1012 0
CPU-1013 0
CPU-1017 0
CPU-1019 0
CPU-1021 0
CPU-2000 0
CPU-9996 0
CPU-10014 41
CPU-10025 283
CPU-10027 0
CPU-10030 6
CPU-10034 0
CPU-10043 0
CPU-10060 13
Wifi 0
Wifi-on false
3G 0
3G-on false
GPS 0
GPS-state-times 1.0 0.0 0.0
GPS-sattelites 0
Audio 0
Audio-on false
begin 7
total-power 1186
LCD 900
LCD-brightness 255
LCD-screen-on true
LCD-10030 900
CPU 286
CPU-sys 55
CPU-usr 11
CPU-freq 1001.0
CPU-0 90
CPU-1000 230
CPU-1001 13
CPU-1002 0
CPU-1012 0
CPU-1013 0
CPU-1017 0
CPU-1019 0
CPU-1021 0
CPU-2000 0
CPU-9996 0
CPU-10014 118
CPU-10025 294
CPU-10027 0
CPU-10034 0
CPU-10043 0
CPU-10060 0
Wifi 0
Wifi-on false
3G 0
3G-on false
GPS 0
GPS-state-times 1.0 0.0 0.0
GPS-sattelites 0
Audio 0
Audio-on false
associate 10009 android.uid.calendar:10009@17
associate 10002 android.uid.shared:10002@17
associate 10007 com.android.calendar@17
